Source,Indicator,Year,Month,State,Value,Unit
EPFO,Net number of subscribers,2021,Jan,India,8431334,Number
EPFO,Net number of subscribers,2021,Jan,Jammu and Kashmir,208091,Number
EPFO,Net number of subscribers,2021,Jan,Himachal Pradesh,269959,Number
EPFO,Net number of subscribers,2021,Jan,Punjab,205520,Number
EPFO,Net number of subscribers,2021,Jan,Chandigarh,237398,Number
EPFO,Net number of subscribers,2021,Jan,Uttarakhand,261991,Number
EPFO,Net number of subscribers,2021,Jan,Haryana,286344,Number
EPFO,Net number of subscribers,2021,Jan,Delhi,151087,Number
EPFO,Net number of subscribers,2021,Jan,Rajasthan,163270,Number
EPFO,Net number of subscribers,2021,Jan,Uttar Pradesh,173008,Number
EPFO,Net number of subscribers,2021,Jan,Bihar,155457,Number
EPFO,Net number of subscribers,2021,Jan,Sikkim,279311,Number
EPFO,Net number of subscribers,2021,Jan,Arunachal Pradesh,304412,Number
EPFO,Net number of subscribers,2021,Jan,Nagaland,195079,Number
EPFO,Net number of subscribers,2021,Jan,Manipur,283877,Number
EPFO,Net number of subscribers,2021,Jan,Mizoram,321951,Number
EPFO,Net number of subscribers,2021,Jan,Tripura,187372,Number
EPFO,Net number of subscribers,2021,Jan,Meghalaya,198358,Number
EPFO,Net number of subscribers,2021,Jan,Assam,290291,Number
EPFO,Net number of subscribers,2021,Jan,West Bengal,130798,Number
EPFO,Net number of subscribers,2021,Jan,Jharkhand,205085,Number
EPFO,Net number of subscribers,2021,Jan,Odisha,149914,Number
EPFO,Net number of subscribers,2021,Jan,Chhattisgarh,131673,Number
EPFO,Net number of subscribers,2021,Jan,Madhya Pradesh,174234,Number
EPFO,Net number of subscribers,2021,Jan,Gujarat,167379,Number
EPFO,Net number of subscribers,2021,Jan,Dadra and Nagar Haveli and Daman and Diu,200527,Number
EPFO,Net number of subscribers,2021,Jan,Maharashtra,171105,Number
EPFO,Net number of subscribers,2021,Jan,Andhra Pradesh,324222,Number
EPFO,Net number of subscribers,2021,Jan,Karnataka,245242,Number
EPFO,Net number of subscribers,2021,Jan,Goa,157286,Number
EPFO,Net number of subscribers,2021,Jan,Lakshadweep,142209,Number
EPFO,Net number of subscribers,2021,Jan,Kerala,281341,Number
EPFO,Net number of subscribers,2021,Jan,Tamil Nadu,186298,Number
EPFO,Net number of subscribers,2021,Jan,Puducherry,205649,Number
EPFO,Net number of subscribers,2021,Jan,Andaman and Nicobar Islands,158615,Number
EPFO,Net number of subscribers,2021,Jan,Telangana,210809,Number
EPFO,Net number of subscribers,2021,Jan,Ladakh,181598,Number
EPFO,Net number of subscribers,2021,Feb,India,8770213,Number
EPFO,Net number of subscribers,2021,Feb,Jammu and Kashmir,204849,Number
EPFO,Net number of subscribers,2021,Feb,Himachal Pradesh,265167,Number
EPFO,Net number of subscribers,2021,Feb,Punjab,206020,Number
EPFO,Net number of subscribers,2021,Feb,Chandigarh,236696,Number
EPFO,Net number of subscribers,2021,Feb,Uttarakhand,266348,Number
EPFO,Net number of subscribers,2021,Feb,Haryana,292793,Number
EPFO,Net number of subscribers,2021,Feb,Delhi,148523,Number
