Source,Indicator,Year,Month,State,Value,Unit
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,India,20947381,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Jammu and Kashmir,414543,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Himachal Pradesh,568401,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Punjab,433253,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Chandigarh,463423,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Uttarakhand,531829,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Haryana,584236,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Delhi,311785,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Rajasthan,343924,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Uttar Pradesh,373660,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Bihar,312361,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Sikkim,585248,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Arunachal Pradesh,657691,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Nagaland,417163,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Manipur,627464,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Mizoram,687112,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Tripura,403370,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Meghalaya,404613,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Assam,578819,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,West Bengal,292975,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Jharkhand,452938,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Odisha,313593,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Chhattisgarh,270187,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Madhya Pradesh,346681,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Gujarat,358374,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Dadra and Nagar Haveli and Daman and Diu,448357,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Maharashtra,344879,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Andhra Pradesh,659973,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Karnataka,485042,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Goa,332064,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Lakshadweep,294184,Number
ESIC,Net number of ESIC beneficiaries (Persons),2021,Jan,Kerala,588003,Number
