Source,Indicator,Type of Estimate,Year,Frequency,States,Gender,Sector,Age-group (years),Value,Unit
PLFS,Labour Force Participation Rate,PS+SS,2024,Annual,India,Person,Total,15 & above,58.2,Percent
PLFS,Labour Force Participation Rate,PS+SS,2024,Annual,Uttar Pradesh,Male,Rural,15 & above,74.1,Percent
PLFS,Labour Force Participation Rate,PS+SS,2024,Annual,Uttar Pradesh,Female,Rural,15 & above,34.6,Percent
PLFS,Worker Population Ratio / Employment Rate,PS+SS,2024,Annual,India,Person,Total,15 & above,55.8,Percent
PLFS,Unemployment Rate,PS+SS,2024,Annual,India,Person,Total,15 & above,4.1,Percent
PLFS,NEET Rate,PS+SS,2024,Annual,India,Female,Total,15-29,28.4,Percent
PLFS,Growth of Labour Force (%),PS+SS,2024,Annual,India,Person,Total,15 & above,3.8,Percent
PLFS,Growth of Employed Persons (%),PS+SS,2024,Annual,India,Person,Total,15 & above,4.2,Percent
PLFS,Average wages of casual workers,CWS,2024,Annual,India,Male,Rural,15 & above,420,INR
PLFS,Average monthly earnings – regular salaried,CWS,2024,Annual,India,Person,Urban,15 & above,28500,INR
PLFS,Average monthly earnings – self-employed,CWS,2024,Annual,India,Person,Total,15 & above,19800,INR
PLFS,Distribution of employment by status,PS+SS,2024,Annual,India,Person,Total,15 & above,42.0,Percent
PLFS,Distribution of employed persons by industry,PS+SS,2024,Annual,India,Person,Total,15 & above,18.5,Percent
PLFS,Distribution of employed persons by occupation,PS+SS,2024,Annual,India,Person,Total,15 & above,21.7,Percent
PLFS,Access to technical education,PS+SS,2024,Annual,India,Person,Total,15 & above,7.4,Percent
PLFS,Access to vocational training,PS+SS,2024,Annual,India,Person,Total,15 & above,18.6,Percent
